STATEFP,COUNTYFP,TRACT10,PUMA00
26,163,523200,03706
26,163,523100,03706
26,163,522100,03706
26,163,521100,03706
26,163,521500,03706
26,163,526300,03706
26,163,525600,03706
26,163,525500,03706
26,163,525000,03706
26,163,533700,03706
26,163,524500,03706
26,163,522000,03706
26,163,526000,03706
26,163,521300,03706
26,163,521800,03706
26,163,521900,03706
26,163,524800,03706
26,163,524900,03706
26,163,538700,03704
26,163,538400,03704
26,163,537100,03704
26,163,536700,03704
26,163,536400,03704
26,163,538600,03704
26,163,538200,03704
26,163,538100,03704
26,163,536900,03704
26,163,536800,03704
26,163,536300,03704
26,163,540200,03704
26,163,539700,03704
26,163,539400,03704
26,163,538800,03704
26,163,539600,03704
26,163,539500,03704
26,163,539200,03704
26,163,538900,03704
26,163,540400,03704
26,163,530100,03704
26,163,530200,03704
26,163,539000,03704
26,163,537000,03704
26,163,536100,03704
26,163,538300,03704
26,163,536200,03704
26,163,530300,03704
26,163,540300,03704
26,163,539300,03704
26,163,540100,03704
26,163,539100,03704
26,163,538500,03704
26,099,212000,04103
26,099,226400,04103
26,099,206700,04103
26,099,214500,04103
26,099,215300,04103
26,099,214000,04103
26,099,215000,04103
26,099,215500,04103
26,099,225701,04103
26,099,215200,04103
26,099,227000,04103
26,099,227300,04103
26,099,225702,04103
26,099,216000,04103
26,099,225600,04103
26,099,225800,04103
26,099,225900,04103
26,099,226100,04103
26,099,225100,04103
26,099,225200,04103
26,099,225300,04103
26,099,225400,04103
26,099,225500,04103
26,099,228000,04103
26,099,228100,04103
26,099,226700,04103
26,163,556300,03600
